Date;Open;High;Low;Close;Volume;market_cap;total_volume;Value - Hrate;Value - Uadresses;google_trends
12/12/2015;443.1190;464.0000;407.1352;431.0000;238.9876;951600;125788;688135.119507;387377;4
13/12/2015;427.4866;438.0000;418.3700;432.0000;40.1537;951600;15028;656677.514044;457574;3
14/12/2015;430.0000;445.0000;426.2100;442.0000;302.0660;951600;10857;585897.901751;381029;3
15/12/2015;443.0000;464.9800;430.0100;464.9800;187.2793;951600;13558;692067.32019;423138;3
16/12/2015;461.6048;461.6300;441.0000;453.6486;183.7933;951600;94882;758914.731799;392348;3
17/12/2015;450.3476;459.1531;445.0000;451.0344;67.7135;951600;9676;660609.714727;411804;3
18/12/2015;455.0000;467.6907;452.2719;464.9710;92.6989;951600;4622;625219.90858;395053;3
19/12/2015;464.7609;464.9600;455.0000;458.0100;52.9906;951600;74066;629152.109263;383932;3
20/12/2015;458.9000;460.4900;436.0000;441.2200;166.6109;951600;19760;720030.586381;427602;3
21/12/2015;442.0000;446.9557;426.6960;441.7500;193.7398;951600;21016;785065.607087;363933;3
22/12/2015;440.5611;444.2500;434.2929;437.6900;40.9163;951476;12901;715385.22776;451443;3
23/12/2015;437.7000;445.9900;435.4688;444.8300;66.4475;951600;40000;654995.565676;391920;3
24/12/2015;443.9900;458.0000;443.9900;452.7122;60.2605;951600;73592;766484.1726;409651;3
25/12/2015;455.3390;457.9500;451.1200;457.8400;4.0668;951600;83841;692158.434651;410857;3
26/12/2015;451.1200;451.1200;409.0000;417.4700;216.2930;951600;6177;622478.055323;329540;3
27/12/2015;413.0000;429.7200;409.4069;427.2900;26.9819;951600;16559;864036.703658;347238;3
28/12/2015;427.2900;429.3600;418.7811;424.3000;108.7489;951600;81415;905844.931254;341200;3
29/12/2015;421.0948;432.5000;420.3989;430.9500;148.2647;951600.0;14168.000000000002;747902.738112;314685;3
30/12/2015;433.3000;435.0000;420.0000;424.3087;48.7851;951599.9999999999;7405.999999999999;706094.510516;343081;3
31/12/2015;424.4500;431.3100;416.6084;431.3100;80.6526;951600.0;7468.000000000001;803647.041574;342062;3
01/01/2016;434.1790;434.9700;430.7400;431.5053;14.3486;951599.9999999998;4875.999999999998;743604.444166;310331;3
02/01/2016;434.0000;434.9900;430.3248;434.9800;26.7595;951600.0;4701.000000000001;697129.166406;232199;3
03/01/2016;434.4900;434.4900;422.9800;426.5700;23.6110;951600.0;1389.0000000000002;707457.005908;334703;3
04/01/2016;427.7700;433.9600;426.5600;431.0841;40.8760;951600.0;81130.00000000003;769424.042922;295177;3
05/01/2016;431.0600;434.7299;429.0000;431.3200;34.0821;951599.9999999998;1651.0;903685.956452;363742;3
06/01/2016;431.3299;431.3299;427.5806;429.9900;20.0479;1451599.9999999998;540887.0;841718.919438;365051;3
07/01/2016;428.5500;457.8835;427.7807;457.8835;132.7645;1451599.9999999998;540886.9999999998;702293.086157;338929;3
08/01/2016;457.9999;460.0000;447.6401;455.2200;110.9422;1451600.0;14252.0;743604.444166;326219;3
09/01/2016;452.8500;459.8718;450.0000;451.3800;84.7839;1451600.0;3542.0;903685.956452;366508;3
10/01/2016;450.0000;451.1300;442.0500;449.1300;42.6780;1451599.9999999998;66751.99999999997;821063.240434;371151;3
11/01/2016;449.8933;454.5300;443.8118;452.2306;110.1995;1451600.0;117347.99999999999;877866.357696;363228;3
12/01/2016;451.3155;451.3155;440.0000;440.0000;157.6838;1451600.0;12857.999999999998;877866.357696;365605;3
13/01/2016;440.0000;455.0000;427.1700;433.9817;180.7921;1451600.0;10100.999999999998;908849.876203;372889;3
14/01/2016;433.0605;437.1500;430.0000;430.5750;44.4457;1451600.0;18830.0;862135.539442;341119;3
15/01/2016;430.5750;430.9100;364.4900;364.4900;629.5345;1451599.9999999998;21137.0;743803.210499;354601;3
16/01/2016;364.4800;392.5201;351.7600;390.3280;516.3884;1451600.0;73936.0;693089.355238;344968;3
17/01/2016;390.3280;395.0000;381.6000;381.9502;133.9449;1451599.9999999998;73936.0;783247.320146;393797;3
18/01/2016;383.5708;391.8200;376.5800;390.1000;243.0561;1451599.9999999998;160999.0;783247.320146;447783;3
19/01/2016;390.9700;390.9700;379.0200;381.1002;68.6165;1451599.9999999998;11865.000000000002;986102.741192;395421;3
20/01/2016;381.0438;425.1272;375.9300;419.0501;792.6624;1451600.0;16737.0;839596.048215;382142;3
21/01/2016;419.0501;425.7800;406.0500;412.3100;730.2346;1451600.0;35946.0;822691.429794;387569;3
22/01/2016;410.6546;411.1899;375.5242;383.2500;514.5196;1451600.0;26663.000000000004;755072.956112;406195;3
23/01/2016;384.2900;395.0000;381.3600;385.8098;387.8285;1451600.0;21926.999999999996;929754.013123;413921;3
24/01/2016;387.9699;406.7100;386.5800;400.6801;601.9008;1451600.0;22933.000000000004;1008642.23242;435226;3
25/01/2016;401.2523;401.2523;387.1700;394.0100;473.1332;1451599.9999999998;39330.999999999985;935388.88593;383842;3
26/01/2016;393.3688;406.7000;390.4500;395.9500;709.3700;1451600.0;77010.99999999999;974832.995578;404020;3
27/01/2016;395.9499;401.4799;393.1100;395.3553;200.9220;1451600.0;77011.00000000001;978569.915444;462802;3
28/01/2016;396.5500;397.8400;376.9652;380.0000;316.9675;1451600.0;77011.00000000001;918901.018161;414610;3
11/02/2016;380.0000;383.9500;373.6700;377.7600;1332.4994;1451599.9999999998;74466.0;1210727.40421;396665;3
12/02/2016;377.7600;383.4900;375.7600;380.9100;977.5191;1451600.0;406492.9999999998;1375500.95627;429313;3
13/02/2016;381.4500;391.1400;380.9100;390.0000;787.5099;1451599.9999999998;99252.0;1139086.72941;392638;3
14/02/2016;391.0000;407.3454;388.7201;404.7508;656.2218;1451599.9999999998;55621.000000000015;1096102.32453;407580;3
15/02/2016;404.7508;409.3077;392.0000;392.0009;713.8515;1451600.0;94631.99999999999;1289532.1465;390085;3
16/02/2016;395.9977;408.6000;390.1000;405.5000;1024.4879;1451600.0;59167.99999999999;1060281.98712;424653;3
17/02/2016;405.2388;421.7991;403.0128;413.8600;1199.2391;1451599.9999999998;169644.0;1067446.0546;424752;3
18/02/2016;413.4900;424.7885;411.4600;421.1700;820.8566;1451599.9999999998;71601.0;1002969.44728;436155;3
19/02/2016;420.0100;421.0100;413.1337;417.5813;445.8489;1451600.0;49797.00000000002;1289532.1465;416530;3
20/02/2016;418.5000;442.0000;418.2102;435.0000;1137.4810;1451600.0;56058.00000000001;1129682.78043;411494;3
21/02/2016;436.1571;444.0000;422.4960;433.3890;857.5771;1451600.0;57126.00000000003;1284099.85114;440841;3
22/02/2016;431.2036;437.1440;422.0000;433.5111;917.7652;1451599.9999999995;49747.000000000015;1024028.99521;399688;3
23/02/2016;431.8200;437.1464;414.2889;417.4701;1204.3981;1451599.9999999998;106613.00000000001;1056537.8522;469044;3
24/02/2016;417.4437;427.1000;408.1442;423.2028;768.1205;1451377.9052000004;80107.0;1097173.92344;464117;3
25/02/2016;424.0000;426.0000;416.6986;421.8500;746.2578;1451599.9999999998;438017.99999999977;999647.352469;411081;3
26/02/2016;422.7698;433.0000;417.6476;433.0000;459.1762;1451600.0;102512.0;1178446.06592;412050;3
27/02/2016;433.0400;435.9981;428.5000;432.9200;615.0079;1451600.0;96721.0;1219082.13716;404307;3
28/02/2016;432.4900;434.9800;421.0700;430.7793;177.4216;1451599.9999999998;114084.0;1064665.06645;378857;3
29/02/2016;430.7793;442.0000;429.2865;438.2400;584.0428;1451600.0;74743.0;1210954.92291;412223;3
01/03/2016;437.8930;439.4060;422.7940;431.4800;1807.9437;1451581.1292;118129.00000000001;1097173.92344;470332;3
02/03/2016;431.4800;432.4750;412.0000;421.1700;1344.9187;1451552.0972;60826.999999999985;1040283.42371;451258;3
