;SVC signal;return;;return of buy only (SVC);return of buy and hold;;return of buy/sell;;;;AdaBoost signal;;return of buy only (adaboost);;return of buy/sell;;;%;
11/11/2019;1;-0,03562341;-0,03562341;1,031660953;1,053385066;-0,03562341;1,009696593;;;;0;0;1,102183108;0,03562341;1,149399118;;20191125;0,006;0,00006
12/11/2019;1;0,01099002;0,01099002;1,042998927;1,064961788;0,01099002;1,020793179;;;;1;0,01099002;1,114296122;0,01099002;1,162031037;;20191126;0,006;0,00006
13/11/2019;1;-0,005752996;-0,005752996;1,036998559;1,058835067;-0,005752996;1,01492056;;;;0;0;1,114296122;0,005752996;1,168716196;;20191127;0,006;0,00006
14/11/2019;1;-0,015038967;-0,015038967;1,021403172;1,042911282;-0,015038967;0,999657203;;;;1;-0,015038967;1,09753826;-0,015038967;1,151139912;;20191129;0,006;0,00006
15/11/2019;1;-0,020389249;-0,020389249;1,000577528;1,021647104;-0,020389249;0,979274943;;;;1;-0,020389249;1,075160279;-0,020389249;1,127669034;;20191202;0,007;0,00007
16/11/2019;1;0,00345321;0,00345321;1,004032733;1,025175066;0,00345321;0,982656586;;;;1;0,00345321;1,078873033;0,00345321;1,131563112;;20191203;0,007;0,00007
17/11/2019;1;0,001908802;0,001908802;1,005949232;1,027131922;0,001908802;0,984532282;;;;1;0,001908802;1,080932388;0,001908802;1,133723041;;20191204;0,007;0,00007
18/11/2019;1;-0,039173488;-0,039173488;0,966542692;0,986895582;-0,039173488;0,945964719;;;;0;0;1,080932388;0,039173488;1,178134927;;20191205;0,007;0,00007
19/11/2019;1;-0,005716874;-0,005716874;0,96101709;0,981253625;-0,005716874;0,940556758;;;;1;-0,005716874;1,074752834;-0,005716874;1,171399678;;20191206;0,007;0,00007
20/11/2019;1;-0,005144679;-0,005144679;0,956072965;0,97620539;-0,005144679;0,935717896;;;;1;-0,005144679;1,069223576;-0,005144679;1,165373203;;20191209;0,007;0,00007
21/11/2019;1;-0,057403719;-0,057403719;0,901190822;0,92016757;-0,057403719;0,882004209;;;;1;-0,057403719;1,007846166;-0,057403719;1,098476447;;20191210;0,007;0,00007
22/11/2019;1;-0,043876573;-0,043876573;0,861649657;0,879793771;-0,043876573;0,843304886;;;;1;-0,043876573;0,96362533;-0,043876573;1,050279065;;20191211;0,007;0,00007
23/11/2019;1;0,005202685;0,005202685;0,866132548;0,88437106;0,005202685;0,847692336;;;;1;0,005202685;0,968638769;0,005202685;1,055743336;;20191212;0,007;0,00007
24/11/2019;1;-0,057166268;-0,057166268;0,816618983;0,833814867;-0,057166268;0,799232928;;;;1;-0,057166268;0,913265305;-0,057166268;0,995390429;;20191213;0,007;0,00007
25/11/2019;1;0,032430945;0,032430945;0,843102708;0,860856271;0,032430945;0,825152807;;;;0;0;0,913265305;-0,032430945;0,963108977;;20191216;0,007;0,00007
26/11/2019;1;0,005023997;0,005023997;0,847338454;0,865181211;0,005023997;0,829298373;;;;1;0,005023997;0,917853548;0,005023997;0,967947634;;20191217;0,007;0,00007
